Title,URL
phantomjs-2.1.1-windows.zip,https://bitbucket.org/ariya/phantomjs/downloads/phantomjs-2.1.1-windows.zip
phantomjs-2.1.1-macosx.zip,https://bitbucket.org/ariya/phantomjs/downloads/phantomjs-2.1.1-macosx.zip
phantomjs-2.1.1-linux-x86_64.tar.bz2,https://bitbucket.org/ariya/phantomjs/downloads/phantomjs-2.1.1-linux-x86_64.tar.bz2
phantomjs-2.1.1-linux-i686.tar.bz2,https://bitbucket.org/ariya/phantomjs/downloads/phantomjs-2.1.1-linux-i686.tar.bz2
Bitbucket,https://bitbucket.org/ariya/phantomjs/downloads
Google Code Project Hosting,http://code.google.com/p/phantomjs/downloads/
